city,latitude,longitude,elevation,slope,aspect,ndvi,precipitation,temperature,soil_type,soil_texture,soil_color
武汉,30.52,114.31,23.5,5.2,180,0.65,1200,16.5,红壤,中粒,红色
宜昌,30.70,111.28,45.2,8.7,135,0.72,1300,15.8,黄壤,细粒,黄色
襄阳,32.02,112.12,67.8,12.3,90,0.68,1100,15.2,紫色土,中细粒,紫色
黄冈,30.45,114.87,34.5,6.8,225,0.71,1250,16.2,水稻土,细粒,灰色
咸宁,29.85,114.32,56.7,9.5,270,0.69,1350,16.0,红壤,中粒,红色
荆州,30.33,112.23,28.9,4.5,315,0.67,1150,16.8,水稻土,细粒,灰色
恩施,30.30,109.48,89.6,15.2,45,0.75,1400,14.5,山地土,粗粒,棕色
十堰,32.63,110.78,850.3,18.5,90,0.78,900,12.5,棕壤,中粒,棕色
随州,31.72,113.37,120.5,7.8,180,0.66,1000,15.0,黄棕壤,中细粒,黄棕色
荆门,31.03,112.20,150.2,8.9,225,0.70,1050,15.5,黄壤,中粒,黄色
黄石,30.20,115.03,50.6,6.5,270,0.68,1280,16.3,红壤,细粒,红色
鄂州,30.40,114.89,35.8,5.5,135,0.67,1220,16.4,水稻土,细粒,灰色
孝感,30.92,113.92,45.3,6.2,180,0.69,1180,15.9,黄壤,中粒,黄色
天门,30.66,113.17,25.4,4.8,225,0.66,1100,16.5,水稻土,细粒,灰色
仙桃,30.36,113.45,28.7,4.2,270,0.65,1150,16.7,水稻土,细粒,灰色
潜江,30.40,112.90,27.8,4.0,315,0.64,1130,16.6,水稻土,细粒,灰色
神农架,31.75,110.67,1200.5,25.3,90,0.82,1500,11.8,山地土,粗粒,棕色
武汉郊区,30.65,114.12,45.8,6.5,135,0.67,1180,16.2,红壤,中粒,红色
宜昌山区,30.85,111.05,320.5,12.8,90,0.74,1350,14.8,黄壤,细粒,黄色
襄阳平原,32.12,112.05,85.6,3.2,180,0.65,1050,15.5,紫色土,中细粒,紫色
黄冈丘陵,30.55,114.95,120.3,8.5,225,0.70,1280,16.0,水稻土,细粒,灰色
咸宁山区,29.95,114.15,280.6,15.2,270,0.71,1400,15.2,红壤,中粒,红色
荆州平原,30.25,112.15,35.2,2.8,315,0.66,1100,16.9,水稻土,细粒,灰色
恩施高山,30.40,109.35,1200.8,22.5,45,0.80,1450,13.5,山地土,粗粒,棕色
十堰山区,32.75,110.65,950.6,20.3,90,0.79,850,12.0,棕壤,中粒,棕色
随州丘陵,31.82,113.25,150.8,9.2,180,0.67,950,14.8,黄棕壤,中细粒,黄棕色
荆门山区,31.12,112.10,280.5,12.5,225,0.72,1000,15.0,黄壤,中粒,黄色
黄石丘陵,30.30,114.95,85.6,7.8,270,0.69,1250,16.1,红壤,细粒,红色
鄂州平原,30.45,114.75,28.9,3.5,135,0.66,1200,16.5,水稻土,细粒,灰色
孝感丘陵,31.02,113.82,95.8,6.8,180,0.68,1150,15.8,黄壤,中粒,黄色 